session_start,spread_pips,mr_rsi_os,mr_rsi_ob,mr_bb_std,mr_stop_mult,mr_target_mult,tf_fast_ema,tf_slow_ema,tf_stop_mult,tf_target_mult,adx_threshold,session_end,max_hold,trail_atr,return_pct,win_rate,profit_factor,trades,max_dd
12,2.0,25,75,2.0,2.0,5.0,12,50,2.5,6.0,20,16,30,1.5,29.56,15.1,inf,86,6.22
12,2.0,25,75,2.0,2.0,5.0,12,50,2.5,5.0,20,16,30,1.5,27.43,20.9,inf,86,5.21
12,2.0,25,80,2.0,2.0,5.0,12,50,2.5,6.0,20,16,30,1.5,27.37,14.3,inf,84,5.92
12,2.0,25,75,2.0,2.0,4.0,12,50,2.5,6.0,20,16,30,1.5,26.94,15.1,inf,86,6.22
12,2.0,25,75,2.0,2.0,5.0,12,50,3.0,6.0,20,16,30,1.5,26.44,15.1,inf,86,6.12
12,2.0,25,80,2.0,2.0,5.0,12,50,3.0,6.0,20,16,30,1.5,25.99,14.3,inf,84,5.6
12,2.0,25,75,2.0,2.5,5.0,12,50,2.5,6.0,20,16,30,1.5,25.91,15.1,inf,86,6.08
12,2.0,25,75,2.0,2.0,5.0,12,50,3.0,5.0,20,16,30,1.5,25.65,20.9,inf,86,4.92
12,2.0,25,80,2.0,2.0,4.0,12,50,2.5,6.0,20,16,30,1.5,25.22,14.3,inf,84,5.92
12,2.0,25,80,2.0,2.5,5.0,12,50,2.5,6.0,20,16,30,1.5,25.22,14.3,inf,84,5.5
12,2.0,25,80,2.0,2.0,5.0,12,50,2.5,5.0,20,16,30,1.5,25.17,20.2,inf,84,5.21
12,2.0,25,75,2.0,2.0,4.0,12,50,2.5,5.0,20,16,30,1.5,24.43,20.9,inf,86,5.21
12,2.0,25,75,2.0,2.5,4.0,12,50,2.5,6.0,20,16,30,1.5,23.98,15.1,inf,86,6.08
12,2.0,25,75,2.0,2.5,5.0,12,50,2.5,5.0,20,16,30,1.5,23.98,20.9,inf,86,5.13
12,2.0,25,80,2.0,2.0,5.0,12,50,3.0,5.0,20,16,30,1.5,23.78,20.2,inf,84,4.92
12,2.0,20,75,2.0,2.0,5.0,12,50,2.5,6.0,20,16,30,1.5,23.73,12.7,inf,79,5.17
12,2.0,25,75,2.0,2.0,4.0,12,50,3.0,6.0,20,16,30,1.5,23.51,15.1,inf,86,6.12
12,2.0,25,80,2.0,2.0,4.0,12,50,2.5,5.0,20,16,30,1.5,23.39,20.2,inf,84,5.21
12,2.0,20,75,2.0,2.5,5.0,12,50,2.5,6.0,20,16,30,1.5,23.21,12.7,inf,79,5.1
12,2.0,25,80,2.0,2.5,4.0,12,50,2.5,6.0,20,16,30,1.5,23.18,14.3,inf,84,5.5
12,2.0,20,75,2.0,2.0,4.0,12,50,2.5,6.0,20,16,30,1.5,23.13,12.7,inf,79,5.17
12,2.0,25,80,2.0,2.0,4.0,12,50,3.0,6.0,20,16,30,1.5,22.81,14.3,inf,84,5.6
12,2.0,25,75,2.0,2.0,4.0,12,50,3.0,5.0,20,16,30,1.5,22.59,20.9,inf,86,4.92
12,2.0,25,75,2.0,2.5,5.0,12,50,3.0,6.0,20,16,30,1.5,22.42,15.1,inf,86,5.97
12,2.0,20,75,2.0,2.5,4.0,12,50,2.5,6.0,20,16,30,1.5,22.36,12.7,inf,79,5.1
12,2.0,20,80,2.0,2.5,4.0,12,50,2.5,6.0,20,16,30,1.5,21.95,11.7,inf,77,4.53
12,2.0,20,80,2.0,2.5,5.0,12,50,2.5,6.0,20,16,30,1.5,21.95,11.7,inf,77,4.53
12,2.0,20,80,2.0,2.0,4.0,12,50,2.5,6.0,20,16,30,1.5,21.8,11.7,inf,77,4.87
12,2.0,20,80,2.0,2.0,5.0,12,50,2.5,6.0,20,16,30,1.5,21.8,11.7,inf,77,4.87
12,2.0,25,80,2.0,2.0,4.0,12,50,3.0,5.0,20,16,30,1.5,21.59,20.2,inf,84,4.92
12,2.0,25,80,2.0,2.5,5.0,12,50,2.5,5.0,20,16,30,1.5,21.48,20.2,inf,84,5.13
12,2.0,25,75,2.0,2.5,4.0,12,50,2.5,5.0,20,16,30,1.5,21.46,20.9,inf,86,5.13
12,2.0,20,75,2.0,2.0,5.0,12,50,2.5,5.0,20,16,30,1.5,21.18,19.0,inf,79,4.2
12,2.0,25,80,2.0,2.5,5.0,12,50,3.0,6.0,20,16,30,1.5,21.06,14.3,inf,84,5.18
12,2.0,20,75,2.0,2.5,5.0,12,50,2.5,5.0,20,16,30,1.5,20.66,19.0,inf,79,4.2
12,2.0,20,75,2.0,2.0,4.0,12,50,2.5,5.0,20,16,30,1.5,20.58,19.0,inf,79,4.2
12,2.0,25,75,2.0,2.5,5.0,12,50,3.0,5.0,20,16,30,1.5,20.58,20.9,inf,86,4.84
12,2.0,20,75,2.0,2.0,5.0,12,50,3.0,6.0,20,16,30,1.5,20.47,12.7,inf,79,4.63
12,2.0,20,75,2.0,2.5,4.0,12,50,2.5,5.0,20,16,30,1.5,20.39,19.0,inf,79,4.2
12,2.0,20,75,2.0,2.5,5.0,12,50,3.0,6.0,20,16,30,1.5,20.1,12.7,inf,79,4.56
12,2.0,20,75,2.0,2.0,4.0,12,50,3.0,6.0,20,16,30,1.5,20.02,12.7,inf,79,4.63
12,2.0,25,80,2.0,2.5,5.0,12,50,3.0,5.0,20,16,30,1.5,20.02,20.2,inf,84,4.84
12,2.0,25,75,2.0,2.5,4.0,12,50,3.0,6.0,20,16,30,1.5,20.01,15.1,inf,86,5.97
12,2.0,25,80,2.0,2.5,4.0,12,50,2.5,5.0,20,16,30,1.5,20.01,20.2,inf,84,5.13
12,2.0,20,80,2.0,2.5,4.0,12,50,2.5,5.0,20,16,30,1.5,19.97,18.2,inf,77,4.2
12,2.0,20,80,2.0,2.5,5.0,12,50,2.5,5.0,20,16,30,1.5,19.97,18.2,inf,77,4.2
12,2.0,20,75,2.0,2.5,4.0,12,50,3.0,6.0,20,16,30,1.5,19.63,12.7,inf,79,4.56
12,2.0,20,80,2.0,2.0,4.0,12,50,2.5,5.0,20,16,30,1.5,19.62,18.2,inf,77,4.2
12,2.0,20,80,2.0,2.0,5.0,12,50,2.5,5.0,20,16,30,1.5,19.62,18.2,inf,77,4.2
12,2.0,25,80,2.0,2.5,4.0,12,50,3.0,6.0,20,16,30,1.5,19.6,14.3,inf,84,5.18
